加	243648	['jia']	0.0
西	243619	['xi']	0.0
斯	240900	['si']	-0.0625
月	240566	['yue']	0.0
话	240067	['hua']	-0.015625
合	239277	['ge', 'he']	-0.1369047619047619
回	239243	['hui']	-0.034375
特	239091	['te']	-0.059027777777777776
代	231734	['dai']	-0.0625
内	231331	['nei']	0.0
信	230248	['xin']	0.05
表	226768	['biao']	0.011363636363636364
化	224729	['hua']	0.0
老	223050	['lao']	0.14622365339578453
给	217815	['gei', 'ji']	-0.007401315789473685
世	214990	['shi']	0.0
位	214983	['wei']	0.0
次	214857	['ci']	-0.13392857142857142
度	214376	['du']	-0.08333333333333333
门	212769	['men']	0.00390625
任	212485	['ren']	0.0
常	212309	['chang']	0.05357142857142857
先	210628	['xian']	-0.025
海	209302	['hai']	0.0
通	209046	['tong']	0.0
教	208875	['jiao']	0.25
儿	207827	['er']	-0.35714285714285715
原	207579	['yuan']	-0.08928571428571429
东	206238	['dong']	0.0
声	206083	['sheng']	-0.025
提	205159	['di', 'ti']	-0.012367724867724863
立	204985	['li']	0.0
及	202671	['ji']	0.0
比	200645	['bi']	0.04806644880174291
员	200217	['yuan']	0.0
解	200090	['jie', 'xie']	0.060714285714285714
水	198933	['shui']	0.0
名	198481	['ming']	0.0
真	198416	['zhen']	0.041666666666666664
论	197165	['lun']	0.0
处	194237	['chu']	0.021296296296296296
走	193619	['zou']	0.0
义	193507	['yi']	0.2916666666666667
各	193435	['ge']	0.0
入	192433	['ru']	0.0
几	192355	['ji']	-0.12380952380952381
口	191936	['kou']	0.0
认	191866	['ren']	0.041666666666666664
条	191280	['tiao']	0.0
平	191267	['ping']	0.04687500000000001
系	190769	['xi']	0.019444444444444445
气	190687	['qi']	0.046130952380952384
题	189921	['ti']	0.0
活	189876	['huo']	0.05
尔	189785	['er']	0.0
更	187378	['geng']	-0.025
别	186634	['bie']	-0.20486111111111108
打	186146	['da']	0.008928571428571428
女	185188	['nv']	0.0
变	185121	['bian']	0.03333333333333334
四	184874	['si']	0.0
神	184554	['shen']	-0.026041666666666668
总	184470	['zong']	0.0
何	184335	['he']	0.0
电	183834	['dian']	0.041666666666666664
数	183312	['shu', 'shuo']	-0.1078042328042328
安	183210	['an']	0.125
少	183018	['shao']	-0.125
报	182411	['bao']	-0.041666666666666664
才	181725	['cai']	0.041666666666666664
结	181674	['jie']	0.032407407407407406
反	181385	['fan']	-0.14534883720930233
受	180928	['shou']	-0.05714285714285714
目	180827	['mu']	0.0125
太	180490	['tai']	0.08928571428571427
量	180008	['liang']	-0.09375000000000001
再	179607	['zai']	0.0
感	178383	['gan']	0.0
建	178289	['jian']	0.0
务	176085	['wu']	-0.08333333333333333
做	175580	['zuo']	0.0
接	175473	['jie']	0.0
必	174963	['bi']	0.0625
场	173632	['chang']	-0.03670634920634921
件	172895	['jian']	0.0
计	171949	['ji']	-0.020833333333333332
管	170746	['guan']	0.024305555555555556
期	169806	['qi']	0.002314814814814815
市	169522	['shi']	0.0
直	169439	['zhi']	0.0
德	168917	['de']	0.18055555555555555
资	168890	['zi']	0.017857142857142856
命	168358	['ming']	0.0
山	168142	['shan']	0.0
金	167912	['jin']	0.0
指	166865	['zhi']	0.0
克	166044	['ke']	0.0
许	166034	['xu']	0.0
统	165820	['tong']	0.03125
区	164775	['ou', 'qu']	-0.025
保	164424	['bao']	-0.125
至	163582	['zhi']	0.0
队	162938	['dui']	0.0
形	162049	['xing']	0.0
社	159527	['she']	0.0
便	159479	['bian', 'pian']	0.075
空	158539	['kong']	0.0
决	157959	['jue']	-0.06250000000000001
治	156904	['zhi']	-0.046875
展	156759	['zhan']	0.03125
马	155772	['ma']	0.0
科	155750	['ke']	0.03290343915343916
司	155229	['si']	0.0
五	154316	['wu']	0.0
基	153462	['ji']	0.0
眼	152079	['yan']	0.0
书	151357	['shu']	0.0
非	149915	['fei']	-0.20833333333333334
则	149042	['ze']	0.08101851851851852
听	148988	['ting']	0.0
白	148728	['bai']	0.027777777777777776
却	148679	['que']	-0.140625
界	148438	['jie']	0.0
达	147907	['da']	0.20833333333333334
光	147639	['guang']	0.0
放	147600	['fang']	0.0625
强	146665	['qiang']	0.2
即	146459	['ji']	0.03125
像	145291	['xiang']	0.013888888888888888
难	144597	['nan']	-0.5984219269102989
且	144597	['qie']	0.0
权	144506	['quan']	0.0
思	144503	['si']	0.0625
王	143948	['wang']	0.0
象	143453	['xiang']	0.0
完	143120	['wan']	0.05
设	142742	['she']	0.05
式	142292	['shi']	0.0
色	142231	['shai', 'se']	0.0
路	141812	['lu']	0.0
记	139501	['ji']	0.0
南	139078	['nan']	0.0
品	138528	['pin']	0.2
住	138503	['zhu']	0.0
告	138285	['gao']	0.0
类	138280	['lei']	0.017857142857142856
求	138216	['qiu']	-0.05
据	137990	['ju']	0.03993055555555555
程	136962	['cheng']	0.03125
北	136939	['bei']	0.0
边	136277	['bian']	0.0
死	136194	['si']	-0.175
张	136087	['zhang']	0.0
该	136053	['gai']	0.13010204081632654
交	135727	['jiao']	0.011111111111111112
规	134528	['gui']	0.125
万	134220	['wan']	-0.03571428571428572
取	134102	['qu']	0.03125
拉	134051	['la']	-0.02678571428571428
格	133986	['ge']	0.125
望	133145	['wang']	0.032407407407407406
觉	132041	['jiao', 'jue']	0.20833333333333334
术	131634	['zhu', 'shu']	0.0
领	130993	['ling']	0.0
共	128824	['gong']	0.0
确	128417	['que']	0.26785714285714285
传	128186	['zhuan', 'chuan']	0.015625
师	128086	['shi']	0.125
观	127796	['guan']	0.023026315789473686
清	127716	['qing']	0.125
今	126624	['jin']	-0.020833333333333332
切	126391	['qie']	0.0875
院	126115	['yuan']	0.0
让	125660	['rang']	0.014880952380952382
识	125220	['shi', 'zhi']	0.0
候	124865	['hou']	0.0
带	124619	['dai']	-0.008928571428571428
导	124463	['dao']	0.0
争	124420	['zheng']	0.0
运	123903	['yun']	0.0
笑	122902	['xiao']	0.0625
飞	122290	['fei']	0.0
风	121803	['feng']	0.07500000000000001
步	121267	['bu']	0.0
改	121023	['gai']	0.0625
收	120897	['shou']	0.03125
根	120778	['gen']	0.0
干	120564	['gan']	0.053240740740740734
造	120496	['zao']	0.0
