恶	-1	0.9988825060738085
失	-0.9771341463414634	0.9873908600272473
毒	-0.9637462235649547	0.9959807769519771
病	-0.9726277372262774	0.9740953640823194
乱	-0.9530768199490547	0.971330021869981
痛	-0.9470899470899471	0.977177308574907
伤	-0.9296325254104769	0.9859246935610698
坏	-1	0.9098848215837751
弱	-1	0.9068303573820612
惨	-1	0.90139828920546
怨	-1	0.8980561730254464
暴	-1	0.8963428713884722
虚	-0.9307958477508651	0.944423787388517
罪	-0.9038461538461539	0.9687790728387691
荒	-1	0.8733928972109164
臭	-1	0.8729701693799825
假	-0.893048128342246	0.976245896868695
灾	-0.903225806451613	0.9549507976064423
哀	-1	0.8600775119756906
苦	-0.8755186721991701	0.9819870919944248
悲	-0.9015317286652078	0.952482949129837
变	-0.9240506329113924	0.9281613993106868
刺	-0.928822495606327	0.9202524205011104
孤	-1	0.850431380777365
剧	-1	0.850431380777365
劣	-1	0.8273806964298493
弃	-1	0.8203359690106007
恨	-0.949748743718593	0.8633045745544762
低	-0.9124087591240876	0.8980561730254463
自	-0.823045267489712	0.9922495161088632
污	-1	0.8142462362859086
残	-1	0.8142462362859086
禁	-0.9473684210526315	0.8504313807773649
死	-0.8545454545454545	0.9360721387932924
杀	-1	0.7981034820053446
伪	-1	0.7981034820053445
危	-1	0.7912601766099203
怒	-0.827027027027027	0.9541936858273785
难	-0.8090753424657534	0.964461649049273
辱	-1	0.7783524268049896
烦	-1	0.7783524268049896
厌	-1	0.7783524268049895
疯	-1	0.7768698398515702
怪	-0.8421052631578948	0.9206060677229218
恼	-1	0.7731198406609764
灭	-0.9047619047619049	0.8489281911636292
欺	-1	0.7614874461456975
损	-1	0.7574789253643514
废	-1	0.7534030360583935
断	-0.8470948012232415	0.8869584693595503
困	-0.856	0.875485528555877
丑	-1	0.749258646010142
累	-1	0.74504460397349
傻	-1	0.74504460397349
抗	-0.7980295566502462	0.9332410338692767
倒	-0.9191919191919192	0.8079500913792459
侵	-0.896551724137931	0.8244795993830032
烧	-0.9183673469387755	0.8047224371643142
害	-0.7628765792031098	0.967613059227093
哑	-1	0.7364028618842733
急	-0.7550626808100289	0.9684652973042761
耻	-1	0.727986821068203
诉	-1	0.7274682069659874
扰	-1	0.7228879476114978
吓	-0.8153846153846154	0.8854411560073123
讽	-1	0.71979175559418
误	-0.8136645962732919	0.8831269138467439
落	-0.9318181818181818	0.7693068177450372
沉	-0.7712833545108005	0.9274394093706664
呆	-1	0.708680108866529
粗	-0.8775510204081634	0.8047224371643141
恐	-0.8070739549839228	0.8742341373134667
羞	-1	0.7037840905280504
愤	-0.8755186721991701	0.7994449821562905
破	-0.767123287671233	0.9122561349757057
淫	-1	0.698805788087798
痒	-1	0.698805788087798
反	-0.7069872276483846	0.9881646760793157
狂	-0.7052480230050322	0.9903100563334962
愚	-1	0.693743818651972
怕	-0.8723404255319149	0.7912601766099203
视	-0.7983193277310924	0.8623902272803946
妄	-1	0.6854671216545121
偏	-0.7966101694915255	0.8600775119756907
懒	-1	0.6833632306209468
骗	-1	0.6833632306209468
祸	-1	0.6780417284623241
丧	-1	0.6715377399445649
愁	-0.9230769230769231	0.7274682069659875
冷	-0.7894736842105263	0.8504313807773649
扭	-1	0.6671289163019205
叛	-1	0.6671289163019204
后	-0.9214659685863874	0.7201029251839566
诈	-1	0.6615345748932577
不	-0.6602873769134775	1.0
压	-0.7627118644067797	0.8600775119756906
斥	-1	0.6558462131345877
疱	-1	0.6558462131345877
毁	-1	0.6558462131345877
腐	-1	0.6558462131345877
磨	-0.8705035971223021	0.7509246953683318
小	-0.6878483835005574	0.9497125632764082
疮	-1	0.6500622508888447
薄	-1	0.6441810814626581
卑	-1	0.6441810814626581
打	-0.689275568181818	0.9315673180311539
对	-0.7089871611982882	0.9033507338934154
劳	-1	0.6382010711600374
散	-1	0.6382010711600374
下	-0.743946419371458	0.8425380486405489
混	-0.85	0.7364028618842733
焦	-1	0.6259378553979174
弄	-1	0.6241523592830145
我	-0.8481012658227848	0.7319727612922275
狠	-1	0.6196512434107413
击	-0.7321428571428571	0.8453617354507452
告	-0.9117647058823529	0.6780417284623241
冲	-0.8117647058823528	0.7574789253643512
哭	-1	0.6132589765454988
忧	-0.7916666666666666	0.7630722413178783
讨	-1	0.6028071441823737
故	-1	0.6001503456551527
差	-0.84	0.7134952031398099
淡	-0.75	0.7981034820053445
水	-0.6385542168674699	0.9371287733993328
迫	-0.8823529411764707	0.678041728462324
战	-0.6498673740053051	0.9190022039009313
离	-0.7558886509635974	0.7891623065077303
俗	-0.8365122615803815	0.7057522952856959
杂	-0.7701149425287357	0.7654297119062023
虐	-1	0.5865973962327706
板	-1	0.5865973962327706
症	-0.8143236074270558	0.71539888247045
躁	-1	0.5796496154913181
犯	-0.8443804034582132	0.6854671216545121
叫	-0.9016393442622951	0.6382010711600374
惑	-0.9016393442622951	0.6382010711600374
屈	-0.9016393442622951	0.6382010711600374
糟	-1	0.5754250238931116
碎	-1	0.5754250238931116
烟	-1	0.5754250238931116
硬	-0.7761194029850746	0.7381543314196739
奸	-1	0.5725850680512734
戒	-1	0.5725850680512734
炎	-0.8285714285714285	0.6885967760854023
流	-0.6097560975609755	0.9349977460369655
仇	-0.9	0.6321205588285577
错	-0.6479999999999999	0.875485528555877
垃	-1	0.5654017914929219
触	-1	0.5654017914929219
笨	-1	0.5654017914929219
圾	-1	0.5654017914929219
裂	-1	0.5580977904154747
被	-1	0.5536565993742871
火	-0.6261682242990654	0.8823451569782208
蜇	-1	0.5506710358827784
暗	-1	0.5506710358827784
